subject_id,condition,avg_reaction_time_ms
1,yellow,1350
2,yellow,1280
3,yellow,1190
4,yellow,1420
5,yellow,1305
6,yellow,1255
7,yellow,1380
8,yellow,1210
9,yellow,1295
10,yellow,1400
11,yellow,1320
12,yellow,1275
13,yellow,1360
14,yellow,1335
15,yellow,1410
16,yellow,1245
17,yellow,1315
18,cyan,1180
19,cyan,1230
20,cyan,1115
21,cyan,1090
22,cyan,1165
23,cyan,1140
24,cyan,1195
25,cyan,1210
26,cyan,1125
27,cyan,1255
28,cyan,1170
29,cyan,1100
30,cyan,1185
31,cyan,1130
32,cyan,1220
33,cyan,1155
34,cyan,1110
35,cyan,1205
